kernel_name,total_call_count,total_time_us,percent
fused_moe_kernel,43600,3238596.69,35.092%
kernel_unified_attention,5450,1117345.75,12.107%
mm_kernel_general_host_tma,59950,1065035.384,11.540%
fused_recurrent_gated_delta_rule_packed_decode_kernel,15360,679060.892,7.358%
"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, true, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",21800,413248.75,4.478%
nvjet_tst_64x8_64x16_2x4_h_bz_TNT,40240,244507.822,2.649%
"void cutlass::device_kernel<flat::kernel::FlatKernelTmaWarpSpecializedDeltaRule<flat::collective::FlatMainloopTmaWarpSpecializedDeltaRule<cutlass::bfloat16_t, float, float, cute::tuple<cute::C<64>, cute::C<64>, cute::C<128> >, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, std::tuple<flat::kernel::Option<(flat::kernel::Tag)1, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)11, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)10, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)9, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)12, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)13, cute::C<false> > > >, flat::kernel::IndividualTileScheduler<flat::kernel::GVATag>, std::tuple<flat::kernel::Option<(flat::kernel::Tag)1, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)11, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)10, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)9, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)12, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)13, cute::C<false> > > > >(flat::kernel::FlatKernelTmaWarpSpecializedDeltaRule<flat::collective::FlatMainloopTmaWarpSpecializedDeltaRule<cutlass::bfloat16_t, float, float, cute::tuple<cute::C<64>, cute::C<64>, cute::C<128> >, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, std::tuple<flat::kernel::Option<(flat::kernel::Tag)1, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)11, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)10, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)9, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)12, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)13, cute::C<false> > > >, flat::kernel::IndividualTileScheduler<flat::kernel::GVATag>, std::tuple<flat::kernel::Option<(flat::kernel::Tag)1, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)11, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)10, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)9, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)12, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)13, cute::C<false> > > >::Params)",990,195918.361,2.123%
"void (anonymous namespace)::two_shot_all_reduce_kernel_inplace<c10::BFloat16, 16, 2>(c10::BFloat16**, unsigned long, unsigned long, unsigned int**, unsigned long, unsigned long)",1353,149438.333,1.619%
nvjet_tst_64x8_64x16_1x1_h_bz_TNT,20360,141236.369,1.530%
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,16350,120206.884,1.303%
"void vllm::cross_device_reduce_1stage<__nv_bfloat16, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __nv_bfloat16*, int, int)",20992,109274.647,1.184%
topk_gating_softmax_kernel,21800,107450.233,1.164%
nvjet_tst_320x64_64x4_2x1_v_bz_TNT,488,89293.853,0.968%
triton_per_fused_1,16350,75037.246,0.813%
nvjet_tst_64x32_64x16_4x2_h_bz_TNT,19800,74267.64,0.805%
zeros_kernel,44520,73044.938,0.791%
moe_align_block_size_stage2_vec,21600,72867.916,0.790%
mul_broadcast_2d_kernel,21800,68288.232,0.740%
moe_align_block_size_stage4,21600,66422.819,0.720%
triton_poi_fused_mul_silu_slice_0,21800,63683.915,0.690%
_causal_conv1d_fwd_kernel,990,60882.962,0.660%
triton_poi_fused_add_4,16350,56497.215,0.612%
nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,2520,56443.457,0.612%
triton_poi_fused_0,21800,55066.948,0.597%
moe_align_block_size_stage1,21600,51618.848,0.559%
_causal_conv1d_update_kernel,15360,50972.917,0.552%
memcpy32_post,40960,50307.76,0.545%
moe_sum_kernel,20480,48684.702,0.528%
_fused_post_conv_kernel,990,46106.644,0.500%
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),545,44896.477,0.486%
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,16350,41350.26,0.448%
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,5450,38942.802,0.422%
sigmoid_forward_kernel_rank_1,21800,37320.029,0.404%
argmax_kernel_inner,545,36883.202,0.400%
