operator,input_shapes,input_dtypes,call_count
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar"",""""]",9727
aten::empty_strided,"[[],[],[],[],[],[]]","[""ScalarList"",""ScalarList"",""Scalar"",""Scalar"","""",""Scalar""]",3726
aten::as_strided,"[[2048,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",1440
aten::as_strided,"[[536870912],[],[],[]]","[""unsigned char"",""ScalarList"",""ScalarList"",""Scalar""]",1440
aten::numpy_T,"[[2048,2048]]","[""c10::BFloat16""]",1440
aten::permute,"[[2048,2048],[]]","[""c10::BFloat16"",""ScalarList""]",1440
aten::slice,"[[536870912],[],[],[],[]]","[""unsigned char"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",1440
aten::view,"[[32,2048],[]]","[""c10::BFloat16"",""ScalarList""]",1440
aten::view,"[[64,2048],[]]","[""c10::BFloat16"",""ScalarList""]",1440
aten::as_strided,"[[2048,32],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",1080
aten::as_strided,"[[2048,6144],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",1080
aten::numpy_T,"[[2048,32]]","[""c10::BFloat16""]",1080
aten::numpy_T,"[[2048,6144]]","[""c10::BFloat16""]",1080
aten::permute,"[[2048,32],[]]","[""c10::BFloat16"",""ScalarList""]",1080
aten::permute,"[[2048,6144],[]]","[""c10::BFloat16"",""ScalarList""]",1080
aten::zeros,"[[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar""]",800
aten::fill_,"[[1],[]]","[""long int"",""Scalar""]",764
aten::view,"[[1,2048],[]]","[""c10::BFloat16"",""ScalarList""]",720
aten::view,"[[16,2048],[]]","[""c10::BFloat16"",""ScalarList""]",720
aten::view,"[[2,2048],[]]","[""c10::BFloat16"",""ScalarList""]",720
aten::view,"[[4,2048],[]]","[""c10::BFloat16"",""ScalarList""]",720
aten::view,"[[8,2048],[]]","[""c10::BFloat16"",""ScalarList""]",720
aten::as_strided,"[[1048576],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",640
aten::as_strided,"[[524288],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",640
aten::empty_like,"[[32,2048],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",640
aten::empty_like,"[[64,2048],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",640
aten::slice,"[[1048576],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",640
aten::slice,"[[524288],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",640
aten::view,"[[1048576],[]]","[""c10::BFloat16"",""ScalarList""]",640
aten::view,"[[131072],[]]","[""c10::BFloat16"",""ScalarList""]",640
aten::view,"[[524288],[]]","[""c10::BFloat16"",""ScalarList""]",640
aten::view,"[[65536],[]]","[""c10::BFloat16"",""ScalarList""]",560
aten::view,"[[16384],[]]","[""c10::BFloat16"",""ScalarList""]",480
aten::view,"[[262144],[]]","[""c10::BFloat16"",""ScalarList""]",480
aten::view,"[[32768],[]]","[""c10::BFloat16"",""ScalarList""]",480
aten::as_strided,"[[3659,2,1056,1,256],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",420
aten::as_strided,"[[2048,4608],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",360
aten::numpy_T,"[[2048,4608]]","[""c10::BFloat16""]",360
aten::permute,"[[2048,4608],[]]","[""c10::BFloat16"",""ScalarList""]",360
aten::fill_,"[[1],[]]","[""int"",""Scalar""]",321
aten::as_strided,"[[131072],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",320
aten::as_strided,"[[16384],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",320
aten::as_strided,"[[262144],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",320
aten::as_strided,"[[32,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",320
aten::as_strided,"[[32768],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",320
aten::as_strided,"[[64,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",320
aten::as_strided,"[[65536],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",320
aten::copy_,"[[32,2048],[32,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",320
aten::copy_,"[[64,2048],[64,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",320
aten::empty_like,"[[1,2048],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",320
aten::empty_like,"[[16,2048],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",320
aten::empty_like,"[[2,2048],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",320
