rank,operator,input_shapes,input_dtypes,metadata_status,call_count
0,aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar"",""""]",shape_and_dtype,17034
0,aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""","""",""""]",shape_and_dtype,11043
0,aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""",""Scalar"",""""]",shape_and_dtype,5434
0,aten::empty_strided,"[[],[],[],[],[],[]]","[""ScalarList"",""ScalarList"",""Scalar"",""Scalar"","""",""Scalar""]",shape_and_dtype,4397
0,aten::_local_scalar_dense,[[]],"[""double""]",shape_and_dtype,2365
0,aten::item,[[]],"[""double""]",shape_and_dtype,2365
0,aten::lift_fresh,[[]],"[""double""]",shape_and_dtype,2365
0,aten::to,"[[],[],[],[],[],[]]","[""double"","""",""Scalar"",""Scalar"",""Scalar"",""""]",shape_and_dtype,2365
0,aten::as_strided,"[[805306368],[],[],[]]","[""unsigned char"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,1942
0,aten::slice,"[[805306368],[],[],[],[]]","[""unsigned char"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,1942
0,aten::view,"[[1,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,1482
0,aten::view,"[[32,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,1162
0,aten::view,"[[64,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,1162
0,aten::new_empty,"[[1,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,1161
0,aten::new_empty,"[[6,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,1161
0,aten::as_strided,"[[33554432],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,1044
0,aten::slice,"[[33554432],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,1044
0,aten::new_empty,"[[192,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,774
0,aten::new_empty,"[[32,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,774
0,aten::new_empty,"[[384,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,774
0,aten::new_empty,"[[64,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,774
0,aten::as_strided,"[[24576],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,645
0,aten::slice,"[[24576],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,645
0,aten::view,"[[24576],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,602
0,aten::view,"[[24,16384],[]]","[""float"",""ScalarList""]",shape_and_dtype,595
0,aten::view,"[[1,4,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,519
0,aten::flatten,"[[24576],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,516
0,aten::view,"[[32,4,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,516
0,aten::view,"[[64,4,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,516
0,aten::view,"[[16,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,494
0,aten::view,"[[2,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,494
0,aten::view,"[[4,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,494
0,aten::view,"[[8,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,494
0,AOTDispatcher Runtime Wrapper Prologue,[],[],no_input_metadata,484
0,Pregraph bytecode,[],[],no_input_metadata,484
0,TorchDynamo Cache Lookup,[],[],no_input_metadata,484
0,aten::as_strided,"[[256,4096],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,473
0,aten::numpy_T,"[[256,4096]]","[""c10::BFloat16""]",shape_and_dtype,473
0,aten::permute,"[[256,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,473
0,aten::zeros,"[[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar""]",shape_and_dtype,473
0,aten::as_strided,"[[1572864],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,430
0,aten::as_strided,"[[786432],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,430
0,aten::slice,"[[1572864],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,430
0,aten::slice,"[[786432],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,430
0,aten::to,"[[1,4096],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""""]",shape_and_dtype,393
0,aten::empty_like,"[[1,4096],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",shape_and_dtype,390
0,aten::new_empty,"[[12,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,387
0,aten::new_empty,"[[16,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,387
0,aten::new_empty,"[[2,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,387
0,aten::new_empty,"[[24,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,387
0,aten::new_empty,"[[4,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",shape_and_dtype,387
