kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,990,990,60891.638,60859.937,0.36903,0.996482,0.627451
_causal_conv1d_update_kernel,both,30720,7680,102345.863,25264.398,0.620261,0.413663,-0.206598
_compute_slot_mapping_kernel,both,4228,1156,10785.493,3299.759,0.065365,0.054028,-0.011337
_fused_post_conv_kernel,both,990,990,46112.178,46115.507,0.27946,0.755066,0.475606
_scatter_jit_function,both,17,17,24.32,24.669,0.000147,0.000404,0.000257
_silu_and_mul_kernel_kernel_rank_2,both,200,200,369.194,366.823,0.002237,0.006006,0.003769
add_func_kernel_rank_1,both,2114,578,2418.267,682.134,0.014656,0.011169,-0.003487
argmax_kernel_inner,both,1057,289,72273.97,19155.665,0.438012,0.313643,-0.12437
bitwise_not_func_kernel_rank_1,both,990,990,1235.61,1234.748,0.007488,0.020217,0.012729
cat_copy_func_kernel_4,both,1920,1920,30272.718,30256.537,0.183466,0.495401,0.311935
embedding_kernel,both,1057,289,2217.068,799.023,0.013436,0.013083,-0.000354
exp_func_kernel_rank_1,both,990,990,1656.677,1655.451,0.01004,0.027105,0.017065
fill_scalar_kernel,both,1547,779,1558.307,857.04,0.009444,0.014033,0.004589
full_func_scalar_kernel_rank_1,both,198,198,192.328,191.566,0.001166,0.003137,0.001971
fused_moe_kernel,both,84560,23120,6047886.273,1934243.336,36.652866,31.670059,-4.982807
fused_recurrent_gated_delta_rule_packed_decode_kernel,both,30720,7680,1379740.695,328712.386,8.361839,5.382126,-2.979713
fused_sigmoid_gating_delta_rule_update_kernel,both,960,960,26311.806,26283.009,0.159461,0.430341,0.27088
gt_func_scalar_kernel_rank_1,both,99,99,102.18,102.268,0.000619,0.001674,0.001055
kernel_unified_attention,both,10570,2890,1720590.598,836546.18,10.42754,13.69707,3.26953
masked_fill_kernel_kernel_rank_2,both,1057,289,2389.778,1216.894,0.014483,0.019925,0.005442
masked_fill_kernel_kernel_rank_4,both,990,990,3085.135,3081.002,0.018697,0.050446,0.031749
