kernel_name,variant_index,mapping_status,operator_name,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
fused_moe_kernel,1,operator_shape_matched,vllm::moe_forward_shared,"[[64,2048],[64,2048],[64,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,79200,5172684.264
fused_moe_kernel,2,operator_shape_matched,vllm::moe_forward_shared,"[[8192,2048],[8192,2048],[8192,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,2480,758542.543
fused_moe_kernel,3,operator_shape_matched,vllm::moe_forward_shared,"[[4097,2048],[4097,2048],[4097,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,15486.452
fused_moe_kernel,4,operator_shape_matched,vllm::moe_forward_shared,"[[4096,2048],[4096,2048],[4096,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,15464.666
fused_moe_kernel,5,operator_shape_matched,vllm::moe_forward_shared,"[[1025,2048],[1025,2048],[1025,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,9520.992
fused_moe_kernel,6,operator_shape_matched,vllm::moe_forward_shared,"[[63,2048],[63,2048],[63,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,5963.834
fused_moe_kernel,7,operator_shape_matched,vllm::moe_forward_shared,"[[61,2048],[61,2048],[61,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,5878.391
fused_moe_kernel,8,operator_shape_matched,vllm::moe_forward_shared,"[[62,2048],[62,2048],[62,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,5874.674
fused_moe_kernel,9,operator_shape_matched,vllm::moe_forward_shared,"[[57,2048],[57,2048],[57,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,5857.913
fused_moe_kernel,10,operator_shape_matched,vllm::moe_forward_shared,"[[59,2048],[59,2048],[59,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,5793.558
fused_moe_kernel,11,operator_shape_matched,vllm::moe_forward_shared,"[[55,2048],[55,2048],[55,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3674.12
fused_moe_kernel,12,operator_shape_matched,vllm::moe_forward_shared,"[[51,2048],[51,2048],[51,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3222.373
fused_moe_kernel,13,operator_shape_matched,vllm::moe_forward_shared,"[[53,2048],[53,2048],[53,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3154.565
fused_moe_kernel,14,operator_shape_matched,vllm::moe_forward_shared,"[[49,2048],[49,2048],[49,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,2969.821
fused_moe_kernel,15,operator_shape_matched,vllm::moe_forward_shared,"[[33,2048],[33,2048],[33,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,2632.818
fused_moe_kernel,16,operator_shape_matched,vllm::moe_forward_shared,"[[47,2048],[47,2048],[47,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,2408.592
fused_moe_kernel,17,operator_shape_matched,vllm::moe_forward_shared,"[[25,2048],[25,2048],[25,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,2324.85
fused_moe_kernel,18,operator_shape_matched,vllm::moe_forward_shared,"[[27,2048],[27,2048],[27,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,2153.028
fused_moe_kernel,19,operator_shape_matched,vllm::moe_forward_shared,"[[43,2048],[43,2048],[43,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,2118.515
fused_moe_kernel,20,operator_shape_matched,vllm::moe_forward_shared,"[[45,2048],[45,2048],[45,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,2066.411
fused_moe_kernel,21,operator_shape_matched,vllm::moe_forward_shared,"[[15,2048],[15,2048],[15,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,2010.658
fused_moe_kernel,22,operator_shape_matched,vllm::moe_forward_shared,"[[41,2048],[41,2048],[41,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,1909.092
