operator,input_shapes,input_dtypes,call_count
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar"",""""]",27736
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""","""",""""]",19296
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""",""Scalar"",""""]",8892
aten::empty_strided,"[[],[],[],[],[],[]]","[""ScalarList"",""ScalarList"",""Scalar"",""Scalar"","""",""Scalar""]",7407
aten::_local_scalar_dense,[[]],"[""double""]",3870
aten::item,[[]],"[""double""]",3870
aten::lift_fresh,[[]],"[""double""]",3870
aten::to,"[[],[],[],[],[],[]]","[""double"","""",""Scalar"",""Scalar"",""Scalar"",""""]",3870
aten::as_strided,"[[805306368],[],[],[]]","[""unsigned char"",""ScalarList"",""ScalarList"",""Scalar""]",2691
aten::slice,"[[805306368],[],[],[],[]]","[""unsigned char"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",2691
aten::view,"[[32,4096],[]]","[""c10::BFloat16"",""ScalarList""]",2240
aten::view,"[[64,4096],[]]","[""c10::BFloat16"",""ScalarList""]",2240
aten::as_strided,"[[33554432],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",2088
aten::slice,"[[33554432],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",2088
aten::new_empty,"[[192,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",1548
aten::new_empty,"[[32,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",1548
aten::new_empty,"[[384,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",1548
aten::new_empty,"[[64,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",1548
aten::view,"[[32,4,4096],[]]","[""c10::BFloat16"",""ScalarList""]",1032
aten::view,"[[64,4,4096],[]]","[""c10::BFloat16"",""ScalarList""]",1032
aten::view,"[[1,4096],[]]","[""c10::BFloat16"",""ScalarList""]",946
aten::view,"[[16,4096],[]]","[""c10::BFloat16"",""ScalarList""]",946
aten::view,"[[2,4096],[]]","[""c10::BFloat16"",""ScalarList""]",946
aten::view,"[[4,4096],[]]","[""c10::BFloat16"",""ScalarList""]",946
aten::view,"[[8,4096],[]]","[""c10::BFloat16"",""ScalarList""]",946
aten::as_strided,"[[1572864],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",860
aten::as_strided,"[[786432],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",860
aten::slice,"[[1572864],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",860
aten::slice,"[[786432],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",860
aten::view,"[[24,16384],[]]","[""float"",""ScalarList""]",850
aten::as_strided,"[[256,4096],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",774
aten::new_empty,"[[1,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",774
aten::new_empty,"[[12,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",774
aten::new_empty,"[[16,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",774
aten::new_empty,"[[2,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",774
aten::new_empty,"[[24,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",774
aten::new_empty,"[[4,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",774
aten::new_empty,"[[48,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",774
aten::new_empty,"[[6,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",774
aten::new_empty,"[[8,4096],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",774
aten::new_empty,"[[96,256],[],[],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""Scalar"","""","""",""""]",774
aten::numpy_T,"[[256,4096]]","[""c10::BFloat16""]",774
aten::permute,"[[256,4096],[]]","[""c10::BFloat16"",""ScalarList""]",774
aten::zeros,"[[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar""]",774
aten::flatten,"[[1572864],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",688
aten::flatten,"[[786432],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",688
aten::view,"[[1572864],[]]","[""c10::BFloat16"",""ScalarList""]",688
aten::view,"[[786432],[]]","[""c10::BFloat16"",""ScalarList""]",688
aten::view,"[[98304],[]]","[""c10::BFloat16"",""ScalarList""]",688
aten::view,"[[49152],[]]","[""c10::BFloat16"",""ScalarList""]",602
aten::as_strided,"[[8192,512],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",567
aten::slice,"[[8192,512],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",567
aten::to,"[[32,4096],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""""]",524
aten::to,"[[64,4096],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""""]",524
aten::copy_,"[[32,4096],[32,4096],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",520
aten::copy_,"[[64,4096],[64,4096],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",520
aten::empty_like,"[[32,4096],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",520
aten::empty_like,"[[64,4096],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",520
aten::view,"[[131072],[]]","[""c10::BFloat16"",""ScalarList""]",520
aten::view,"[[262144],[]]","[""c10::BFloat16"",""ScalarList""]",520
