operator,input_shapes,input_dtypes,call_count
aten::as_strided,"[[1],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",96
aten::slice,"[[1],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",96
aten::as_strided,"[[2],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",92
aten::slice,"[[2],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",80
aten::as_strided,"[[1,1],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",63
aten::empty_strided,"[[],[],[],[],[],[]]","[""ScalarList"",""ScalarList"",""Scalar"",""Scalar"","""",""Scalar""]",60
aten::as_strided,"[[8192],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""Scalar""]",52
aten::slice,"[[8192],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",52
aten::slice,"[[1,1],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",48
aten::empty_like,"[[1],[],[],[],[],[]]","[""int"",""Scalar"","""","""",""Scalar"",""""]",32
aten::copy_,"[[1],[1],[]]","[""int"",""int"",""Scalar""]",28
aten::sub,"[[1],[1],[]]","[""int"",""int"",""Scalar""]",24
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar"",""""]",20
aten::fill_,"[[0],[]]","[""int"",""Scalar""]",20
aten::copy_,"[[3,1],[3,1],[]]","[""long int"",""long int"",""Scalar""]",17
aten::as_strided,"[[1,32],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",16
aten::as_strided,"[[1],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""Scalar""]",16
aten::copy_,"[[1,1],[1,1],[]]","[""int"",""int"",""Scalar""]",16
aten::copy_,"[[2],[2],[]]","[""int"",""int"",""Scalar""]",16
aten::fill_,"[[0],[]]","[""long int"",""Scalar""]",16
aten::slice,"[[1,32],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",16
aten::slice,"[[1],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",16
aten::select,"[[1,1],[],[]]","[""int"",""Scalar"",""Scalar""]",15
aten::as_strided,"[[3,8193],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""Scalar""]",13
aten::as_strided,"[[8192],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",13
aten::slice,"[[3,8193],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",13
aten::slice,"[[8192],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",13
aten::as_strided,"[[1],[],[],[]]","[""bool"",""ScalarList"",""ScalarList"",""Scalar""]",12
aten::copy_,"[[1],[1],[]]","[""long int"",""long int"",""Scalar""]",12
aten::fill_,"[[0,1],[]]","[""int"",""Scalar""]",12
aten::fill_,"[[0],[]]","[""int"",""int""]",12
aten::select,"[[2],[],[]]","[""int"",""Scalar"",""Scalar""]",12
aten::slice,"[[1],[],[],[],[]]","[""bool"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",12
aten::to,"[[1],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""""]",12
aten::view,"[[1],[]]","[""long int"",""ScalarList""]",12
aten::_to_copy,"[[1],[],[],[],[],[],[]]","[""int"",""Scalar"","""","""","""",""Scalar"",""""]",8
aten::as_strided,"[[8192,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",8
aten::copy_,"[[1],[1],[]]","[""long int"",""int"",""Scalar""]",8
aten::detach,[[1]],"[""int""]",8
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""","""",""Scalar""]",8
aten::reshape,"[[1],[]]","[""long int"",""ScalarList""]",8
