operator,input_shapes,input_dtypes,metadata_status,call_count
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar"",""""]",shape_and_dtype,5756
aten::empty_strided,"[[],[],[],[],[],[]]","[""ScalarList"",""ScalarList"",""Scalar"",""Scalar"","""",""Scalar""]",shape_and_dtype,2235
aten::view,"[[1,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,1080
AOTDispatcher Runtime Wrapper Prologue,[],[],no_input_metadata,891
aten::as_strided,"[[2048,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,880
aten::as_strided,"[[536870912],[],[],[]]","[""unsigned char"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,880
aten::numpy_T,"[[2048,2048]]","[""c10::BFloat16""]",shape_and_dtype,880
aten::permute,"[[2048,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,880
aten::slice,"[[536870912],[],[],[],[]]","[""unsigned char"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,880
aten::fill_,"[[1],[]]","[""long int"",""Scalar""]",shape_and_dtype,754
aten::view,"[[32,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,720
aten::view,"[[64,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,720
aten::as_strided,"[[2048,32],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,660
aten::as_strided,"[[2048,6144],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,660
aten::numpy_T,"[[2048,32]]","[""c10::BFloat16""]",shape_and_dtype,660
aten::numpy_T,"[[2048,6144]]","[""c10::BFloat16""]",shape_and_dtype,660
aten::permute,"[[2048,32],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,660
aten::permute,"[[2048,6144],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,660
aten::view,"[[16384],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,560
aten::as_strided,"[[16384],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,480
aten::empty_like,"[[1,2048],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",shape_and_dtype,480
aten::slice,"[[16384],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,480
Pregraph bytecode,[],[],no_input_metadata,451
TorchDynamo Cache Lookup,[],[],no_input_metadata,440
aten::zeros,"[[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar""]",shape_and_dtype,400
aten::view,"[[16,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,360
aten::view,"[[2,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,360
aten::view,"[[4,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,360
aten::view,"[[8,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,360
Torch-Compiled Region: 0/0,[],[],no_input_metadata,320
aten::as_strided,"[[1048576],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,320
aten::as_strided,"[[524288],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,320
aten::empty_like,"[[32,2048],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",shape_and_dtype,320
aten::empty_like,"[[64,2048],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",shape_and_dtype,320
aten::slice,"[[1048576],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,320
aten::slice,"[[524288],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,320
aten::view,"[[1048576],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,320
aten::view,"[[131072],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,320
aten::view,"[[524288],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,320
aten::view,"[[65536],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,280
aten::fill_,"[[1],[]]","[""int"",""Scalar""]",shape_and_dtype,242
aten::as_strided,"[[1,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,240
aten::as_strided,"[[8,512],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,240
aten::copy_,"[[1,2048],[1,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",shape_and_dtype,240
aten::flatten,"[[16384],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,240
aten::reshape,"[[16384],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,240
aten::slice,"[[1,2048],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,240
aten::slice,"[[8,512],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,240
aten::view,"[[1,256],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,240
aten::view,"[[262144],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,240
aten::view,"[[32768],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,240
aten::view,"[[32768],[]]","[""unsigned char"",""Scalar""]",shape_and_dtype,240
aten::as_strided,"[[2048,4608],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,220
aten::numpy_T,"[[2048,4608]]","[""c10::BFloat16""]",shape_and_dtype,220
