operator,input_shapes,input_dtypes,actual_capture_call_count,runtime_call_count,observed_in
_C::weak_ref_tensor,"[[1,1,256]]","[""c10::BFloat16""]",40,0,actual_capture
_C::weak_ref_tensor,"[[1,16,128]]","[""c10::BFloat16""]",120,0,actual_capture
_C::weak_ref_tensor,"[[1,16]]","[""c10::BFloat16""]",120,0,actual_capture
_C::weak_ref_tensor,"[[1,2048]]","[""c10::BFloat16""]",186,0,actual_capture
_C::weak_ref_tensor,"[[1,4096]]","[""c10::BFloat16""]",60,0,actual_capture
_C::weak_ref_tensor,"[[1,8,256]]","[""c10::BFloat16""]",40,0,actual_capture
_C_custom_ar::all_reduce,"[[],[1,2048],[1,2048],[],[]]","[""Scalar"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",160,4,"actual_capture,runtime"
aten::_to_copy,"[[1,1],[],[],[],[],[],[]]","[""int"",""Scalar"",""Scalar"","""","""",""Scalar"",""""]",0,4,runtime
aten::_to_copy,"[[1,248320],[],[],[],[],[],[]]","[""c10::BFloat16"",""Scalar"","""","""","""",""Scalar"",""""]",0,4,runtime
aten::_to_copy,"[[1],[],[],[],[],[],[]]","[""int"",""Scalar"","""","""","""",""Scalar"",""""]",0,8,runtime
aten::_to_copy,"[[1],[],[],[],[],[],[]]","[""int"",""Scalar"",""Scalar"","""","""",""Scalar"",""""]",6,0,actual_capture
aten::_to_copy,"[[1],[],[],[],[],[],[]]","[""long int"",""Scalar"","""","""","""",""Scalar"",""""]",0,4,runtime
aten::_to_copy,"[[1],[],[],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"","""","""",""Scalar"",""""]",4,0,actual_capture
aten::add,"[[1],[1],[],[1]]","[""int"",""int"",""Scalar"",""int""]",0,4,runtime
aten::add,"[[1],[1],[]]","[""int"",""int"",""Scalar""]",0,4,runtime
aten::add,"[[1],[1],[]]","[""long int"",""long int"",""Scalar""]",0,4,runtime
aten::alias,"[[1,248320]]","[""c10::BFloat16""]",0,4,runtime
aten::alias,"[[3,1]]","[""long int""]",0,1,runtime
aten::argmax,"[[1,248320],[],[]]","[""float"",""Scalar"",""Scalar""]",0,4,runtime
aten::as_strided,"[[1,16,128],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",60,0,actual_capture
aten::as_strided,"[[1,16],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",120,0,actual_capture
aten::as_strided,"[[1,1],[],[],[]]","[""bool"",""ScalarList"",""ScalarList"",""""]",0,4,runtime
aten::as_strided,"[[1,1],[],[],[]]","[""float"",""ScalarList"",""ScalarList"",""""]",40,0,actual_capture
aten::as_strided,"[[1,1],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",30,63,"actual_capture,runtime"
aten::as_strided,"[[1,1],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""""]",0,4,runtime
aten::as_strided,"[[1,2,1056,1,256],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",60,0,actual_capture
aten::as_strided,"[[1,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",4,4,"actual_capture,runtime"
