kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,990,990,60882.962,60859.937,0.659703,0.996482,0.336779
_causal_conv1d_update_kernel,both,15360,7680,50972.917,25264.398,0.552322,0.413663,-0.138659
_compute_slot_mapping_kernel,both,2180,1156,5796.188,3299.759,0.062805,0.054028,-0.008777
_fused_post_conv_kernel,both,990,990,46106.644,46115.507,0.499593,0.755066,0.255473
_scatter_jit_function,both,17,17,24.097,24.669,0.000261,0.000404,0.000143
_silu_and_mul_kernel_kernel_rank_2,both,200,200,366.303,366.823,0.003969,0.006006,0.002037
add_func_kernel_rank_1,both,1090,578,1263.792,682.134,0.013694,0.011169,-0.002525
argmax_kernel_inner,both,545,289,36883.202,19155.665,0.399651,0.313643,-0.086009
bitwise_not_func_kernel_rank_1,both,990,990,1238.272,1234.748,0.013417,0.020217,0.0068
cat_copy_func_kernel_4,both,1920,1920,30255.495,30256.537,0.327836,0.495401,0.167565
embedding_kernel,both,545,289,1274.422,799.023,0.013809,0.013083,-0.000726
exp_func_kernel_rank_1,both,990,990,1655.516,1655.451,0.017938,0.027105,0.009167
fill_scalar_kernel,both,1035,779,1093.749,857.04,0.011851,0.014033,0.002181
full_func_scalar_kernel_rank_1,both,198,198,191.812,191.566,0.002078,0.003137,0.001058
fused_moe_kernel,both,43600,23120,3238596.69,1934243.336,35.092109,31.670059,-3.42205
fused_recurrent_gated_delta_rule_packed_decode_kernel,both,15360,7680,679060.892,328712.386,7.358026,5.382126,-1.9759
fused_sigmoid_gating_delta_rule_update_kernel,both,960,960,26301.182,26283.009,0.284989,0.430341,0.145352
gt_func_scalar_kernel_rank_1,both,99,99,102.686,102.268,0.001113,0.001674,0.000562
kernel_unified_attention,both,5450,2890,1117345.75,836546.18,12.107101,13.69707,1.589969
masked_fill_kernel_kernel_rank_2,both,545,289,1609.027,1216.894,0.017435,0.019925,0.00249
masked_fill_kernel_kernel_rank_4,both,990,990,3081.115,3081.002,0.033386,0.050446,0.017061
memcpy32_post,both,40960,20480,50307.76,25073.811,0.545114,0.410542,-0.134572
mm_kernel_general_host_tma,both,59950,31790,1065035.384,806935.464,11.540288,13.212243,1.671956
moe_align_block_size_stage1,both,21600,11360,51618.848,27922.499,0.559321,0.457185,-0.102136
moe_align_block_size_stage2_vec,both,21600,11360,72867.916,38203.212,0.789567,0.625515,-0.164052
moe_align_block_size_stage3,both,21600,11360,30637.654,16108.699,0.331977,0.263753,-0.068224
moe_align_block_size_stage4,both,21600,11360,66422.819,35937.45,0.71973,0.588417,-0.131314
moe_sum_kernel,both,20480,10240,48684.702,24070.368,0.527528,0.394113,-0.133415
mul_broadcast_2d_kernel,both,21800,11560,68288.232,47981.592,0.739943,0.78562,0.045676
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,545,289,44896.477,22770.97,0.48648,0.372837,-0.113643
nvjet_tst_128x128_64x6_2x1_v_bz_TNT,both,1280,1280,25927.399,25892.388,0.280939,0.423945,0.143007
nvjet_tst_128x160_64x5_2x1_v_bz_TNT,both,40,40,787.89,782.641,0.008537,0.012814,0.004277
nvjet_tst_128x64_64x8_1x2_h_bz_TNT,both,40,40,516.013,524.715,0.005591,0.008591,0.003
nvjet_tst_128x80_64x8_1x2_h_bz_TNT,both,40,40,586.256,584.941,0.006352,0.009577,0.003225
nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,both,2520,2520,56443.457,56424.035,0.611598,0.923851,0.312253
nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT,both,40,40,556.843,557.163,0.006034,0.009123,0.003089
nvjet_tst_256x16_64x6_2x1_v_bz_TNT,both,8,8,1398.558,1397.472,0.015154,0.022881,0.007727
nvjet_tst_256x24_64x6_2x1_v_bz_TNT,both,8,8,1410.271,1414.623,0.015281,0.023162,0.007881
nvjet_tst_256x32_64x5_2x1_v_bz_TNT,both,8,8,1417.15,1419.294,0.015356,0.023239,0.007883
nvjet_tst_256x40_64x5_2x1_v_bz_TNT,both,8,8,1436.094,1431.87,0.015561,0.023445,0.007884
nvjet_tst_256x48_64x5_2x1_v_bz_TNT,both,8,8,1440.895,1438.652,0.015613,0.023556,0.007943
nvjet_tst_256x56_64x5_2x1_v_bz_TNT,both,8,8,1452.992,1451.198,0.015744,0.023761,0.008017
nvjet_tst_256x8_64x6_2x1_v_bz_TNT,both,9,9,1543.937,1539.168,0.016729,0.025201,0.008472
nvjet_tst_320x64_64x4_2x1_v_bz_TNT,both,488,232,89293.853,42506.511,0.967552,0.695974,-0.271577
nvjet_tst_64x16_64x16_4x2_h_bz_TNT,both,320,320,1155.12,1157.142,0.012516,0.018946,0.00643
nvjet_tst_64x32_64x16_4x2_h_bz_TNT,both,19800,9560,74267.64,35873.252,0.804734,0.587366,-0.217368
nvjet_tst_64x8_64x16_1x1_h_bz_TNT,both,20360,10120,141236.369,70350.33,1.53038,1.151871,-0.378508
nvjet_tst_64x8_64x16_2x1_v_bz_TNT,both,1240,1240,22659.861,22671.471,0.245533,0.371208,0.125675
nvjet_tst_64x8_64x16_2x4_h_bz_TNT,both,40240,19760,244507.822,120024.893,2.649387,1.965211,-0.684176
nvjet_tst_64x8_64x16_4x1_v_bz_TNT,both,320,320,1735.4,1700.612,0.018804,0.027845,0.009041
nvjet_tst_64x8_64x16_4x2_h_bz_TNT,both,480,480,2238.679,2236.779,0.024257,0.036624,0.012366
nvjet_tst_8x64_64x16_4x1_v_bz_TNN,both,320,320,1796.647,1799.352,0.019468,0.029461,0.009994
reduce_segments,both,5120,2560,27499.603,13533.631,0.297974,0.221591,-0.076383
reshape_and_cache_kernel_flash,both,5450,2890,15581.851,11342.602,0.168839,0.185716,0.016878
sigmoid_forward_kernel_rank_1,both,21800,11560,37320.029,19492.475,0.404385,0.319157,-0.085227
sub_func_kernel_rank_1,both,3270,1734,3290.999,1755.097,0.03566,0.028737,-0.006923
sub_func_tensor_scalar_kernel_rank_1,both,641,385,658.923,395.755,0.00714,0.00648,-0.00066
topk_gating_softmax_kernel,both,21800,11560,107450.233,64224.98,1.164287,1.051579,-0.112708
triton_per_fused_1,both,16350,8670,75037.246,54928.162,0.813073,0.899358,0.086286
triton_poi_fused_0,both,21800,11560,55066.948,37538.165,0.596683,0.614626,0.017943
triton_poi_fused_2,both,545,289,713.521,374.404,0.007731,0.00613,-0.001601
triton_poi_fused_3,both,4905,2601,5153.403,2783.775,0.05584,0.04558,-0.01026
triton_poi_fused_5,both,16350,8670,25734.328,16664.56,0.278847,0.272855,-0.005992
triton_poi_fused_7,both,5450,2890,22297.882,16650.826,0.241611,0.27263,0.031019
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,both,544,288,614.39,332.611,0.006657,0.005446,-0.001211
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,both,1,1,1.216,1.184,1.3e-05,1.9e-05,6e-06
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,both,1,1,1.055,1.056,1.1e-05,1.7e-05,6e-06
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,both,16350,8670,41350.26,30887.207,0.448055,0.505727,0.057673
triton_poi_fused_add_2,both,5450,2890,18865.205,14811.686,0.204416,0.242517,0.038101
triton_poi_fused_add_4,both,16350,8670,56497.215,44214.051,0.612181,0.723932,0.111752
triton_poi_fused_mul_sigmoid_view_0,both,545,289,1863.898,1441.788,0.020196,0.023607,0.00341
triton_poi_fused_mul_silu_slice_0,both,21800,11560,63683.915,38098.415,0.690053,0.623799,-0.066254
triton_red_fused_1,both,545,289,1836.649,1343.098,0.019901,0.021991,0.00209
triton_red_fused_6,both,5450,2890,13202.803,9275.377,0.14306,0.151869,0.008809
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,both,5450,2890,38942.802,32427.237,0.421968,0.530943,0.108974
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,both,16350,8670,120206.884,100147.624,1.302513,1.639753,0.33724
"void (anonymous namespace)::two_shot_all_reduce_kernel_inplace<c10::BFloat16, 16, 2>(c10::BFloat16**, unsigned long, unsigned long, unsigned int**, unsigned long, unsigned long)",both,1353,1353,149438.333,149162.46,1.619253,2.44229,0.823038
